Group,Task,Subtask,Description,Link,Team,Assignee,Start Date,End Date,Period,Status,Progress
Phase 1: 프로젝트 기획,,,,,,,2025-09-19,2025-09-25,6,완료,100%
,Task 1,요구사항 분석,반려동물 AI 건강 케어 플랫폼 기획,,,이유석,2025-09-19,2025-09-20,1,완료,100%
,,주제 선정,Fetpal - 반려동물 통합 케어 플랫폼 컨셉 수립,,,이유석,2025-09-19,2025-09-19,0,완료,100%
,,문제정의 및 솔루션 도출,사용자 페인포인트 분석 및 핵심 기능 정의,,,이유석,2025-09-19,2025-09-20,1,완료,100%
,Task 2,프로젝트 산출물 작성,기획서/ERD/시스템 흐름도/아키텍처 작성,,,이유석,2025-09-21,2025-09-25,4,완료,100%
,,기능/비기능 요구사항 작성,AI 건강진단 / 플래너 / 커뮤니티 등,,,이유석,2025-09-21,2025-09-23,2,완료,100%
,,시스템 아키텍처 설계,MSA 구조 / 기술 스택 선정,,,이유석,2025-09-22,2025-09-23,1,완료,100%
,,ERD 작성,데이터베이스 40개+ 테이블 설계,,,이유석,2025-09-23,2025-09-25,2,완료,100%
,,시스템 흐름도 작성,주요 기능별 프로세스 플로우 설계,,,이유석,2025-09-24,2025-09-25,1,완료,100%
,Task 3,UI/UX 디자인,와이어프레임 및 컴포넌트 설계,,,이유석,2025-09-22,2025-09-25,3,완료,100%
,,디자인 시스템 구축,Next.js 14 App Router 기반 설계,,,이유석,2025-09-22,2025-09-25,3,완료,100%
Phase 2: 백엔드 개발,,,,,,,2025-09-19,2025-09-25,6,완료,100%
,Task 4,Supabase 설정,프로젝트 생성 및 데이터베이스 초기화,,,이유석,2025-09-19,2025-09-20,1,완료,100%
,Task 5,데이터베이스 스키마 구현,40개+ 테이블 생성 (CamelCase),,,이유석,2025-09-21,2025-09-25,4,완료,100%
,,사용자/인증 테이블,profiles / profileCompletion,,,이유석,2025-09-21,2025-09-22,1,완료,100%
,,반려동물 테이블,palProfiles / palHealthRecords / vaccinations,,,이유석,2025-09-21,2025-09-22,1,완료,100%
,,커뮤니티 테이블,communityPosts / postTags / postLikes / events,,,이유석,2025-09-22,2025-09-23,1,완료,100%
,,플래너 테이블,plannerEvents / plannerExpenses,,,이유석,2025-09-23,2025-09-24,1,완료,100%
,Task 6,데이터베이스 로직 구현,PostgreSQL 함수/트리거/RLS 정책,,,이유석,2025-09-22,2025-09-25,3,완료,100%
,,함수 및 트리거 작성,프로필 자동 생성 / updatedAt,,,이유석,2025-09-22,2025-09-24,2,완료,100%
,,RLS 정책 적용,60개+ Row Level Security 정책,,,이유석,2025-09-23,2025-09-25,2,완료,100%
,Task 7,스토리지 설정,버킷 생성 및 접근 제어 정책,,,이유석,2025-09-24,2025-09-25,1,완료,100%
Phase 3: YOLO 데이터 수집,,,,,,,2025-09-19,2025-10-02,13,완료,100%
,Task 8,데이터셋 다운로드,AI-Hub 공공 데이터 668547개 이미지 수집,,,이유석,2025-09-19,2025-09-25,6,완료,100%
,,Skin 데이터 수집,피부질환 데이터 232253개 이미지,,,이유석,2025-09-19,2025-09-22,3,완료,100%
,,Eyes 데이터 수집,안구질환 데이터 217547개 이미지,,,이유석,2025-09-20,2025-09-23,3,완료,100%
,,Health 데이터 수집,건강정보 데이터 218747개 이미지,,,이유석,2025-09-21,2025-09-24,3,완료,100%
,Task 9,데이터 파이프라인 구축,JSON → YOLO 포맷 변환 자동화,,,이유석,2025-09-26,2025-09-30,4,완료,100%
,,변환 스크립트 개발,JSON 라벨 → YOLO txt 포맷,,,이유석,2025-09-26,2025-09-28,2,완료,100%
,,중복/오류 제거 자동화,데이터 품질 관리 시스템 (정제율 96.8%),,,이유석,2025-09-28,2025-09-30,2,완료,100%
,Task 10,데이터 전처리 및 EDA,데이터 정제 및 탐색적 분석,,,이유석,2025-09-26,2025-10-02,6,완료,100%
,,Skin 데이터 정제,A7 무증상 데이터 3480개 제거,,,이유석,2025-09-26,2025-09-28,2,완료,100%
,,클래스 불균형 분석,데이터 분포 시각화 및 증강 전략,,,이유석,2025-09-29,2025-10-02,3,완료,100%
Phase 3: YOLO 모델 개발,,,,,,,2025-10-03,2025-10-16,13,완료,100%
,Task 11,Health 모델 훈련,신체부위 인식 모델 (mAP50: 88.2%),,,이유석,2025-10-03,2025-10-09,6,완료,100%
,,모델 훈련,YOLOv8m / 28 epochs / 21.5시간 GPU,,,이유석,2025-10-03,2025-10-05,2,완료,100%
,,성능 평가,full_body(98.8%) / head(86.8%) / nose(78.9%),,,이유석,2025-10-06,2025-10-07,1,완료,100%
,,모델 최적화 및 저장,best.pt 모델 저장 (52MB),,,이유석,2025-10-07,2025-10-09,2,완료,100%
,Task 12,Eyes 모델 훈련,안구질환 탐지 모델 (mAP50: 25.4%),,,이유석,2025-10-03,2025-10-09,6,완료,100%
,,모델 훈련,YOLOv8m / 28 epochs / 72시간 GPU,,,이유석,2025-10-03,2025-10-06,3,완료,100%
,,30개 클래스 성능 분석,질환별 mAP 측정 및 위험도 분류,,,이유석,2025-10-06,2025-10-08,2,완료,100%
,,모델 최적화 및 저장,best.pt 모델 저장 (50MB),,,이유석,2025-10-08,2025-10-09,1,완료,100%
,Task 13,Skin 모델 훈련,피부질환 탐지 모델 (mAP50: 18.3%),,,이유석,2025-10-10,2025-10-16,6,완료,100%
,,1차 훈련 실패 분석,하이퍼파라미터 자동 최적화 문제,,,이유석,2025-10-10,2025-10-11,1,완료,100%
,,하이퍼파라미터 수동 튜닝,배치 크기/학습률 등 수동 조정,,,이유석,2025-10-11,2025-10-12,1,완료,100%
,,2차 훈련 성공,YOLOv8m / 28 epochs / 38시간 GPU (2배 향상),,,이유석,2025-10-12,2025-10-15,3,완료,100%
,,모델 최적화 및 저장,best.pt 모델 저장 (52MB),,,이유석,2025-10-15,2025-10-16,1,완료,100%
Phase 3: AI 서버 개발,,,,,,,2025-10-17,2025-10-23,6,완료,100%
,Task 14,FastAPI 서버 구축,YOLO 추론 API 개발,,,이유석,2025-10-17,2025-10-20,3,완료,100%
,,서버 환경 구축,FastAPI / Uvicorn / Python 3.10,,,이유석,2025-10-17,2025-10-18,1,완료,100%
,,API 엔드포인트 개발,5개 엔드포인트 (/detect-skin/eyes/health/detect/health),,,이유석,2025-10-18,2025-10-20,2,완료,100%
,Task 15,멀티모델 관리 시스템,3개 YOLO 모델 동시 운영,,,이유석,2025-10-20,2025-10-23,3,완료,100%
,,모델 로딩 최적화,Lazy Loading 패턴 / GPU 메모리 효율화,,,이유석,2025-10-20,2025-10-21,1,완료,100%
,,에러 핸들링 구현,모델 로드 실패 / 타임아웃 예외 처리,,,이유석,2025-10-21,2025-10-23,2,완료,100%
,Task 16,LLM(RAG) 연동 준비,OpenAI/Gemini API 연동 및 파이프라인 설계,,,이유석,2025-10-17,2025-10-23,6,완료,100%
Phase 4: 프론트엔드 연동,,,,,,,2025-10-24,2025-10-31,7,완료,100%
,Task 17,AI 어시스턴트 페이지 개발,건강진단 UI 구현,,,이유석,2025-10-24,2025-10-28,4,완료,100%
,,이미지 업로드 컴포넌트,파일 선택 / 카메라 촬영 / 드래그앤드롭,,,이유석,2025-10-24,2025-10-25,1,완료,100%
,,진단 유형 선택 UI,피부 / 눈 / 전체 건강 진단 선택,,,이유석,2025-10-25,2025-10-26,1,완료,100%
,,결과 시각화,바운딩박스 렌더링 / 신뢰도 / 심각도 표시,,,이유석,2025-10-26,2025-10-28,2,완료,100%
,Task 18,YOLO 모델 통합 및 개선,감지 이슈 해결 및 시스템 구축 (데일리 2025-10-25~28),,,이유석,2025-10-25,2025-10-28,3,완료,100%
,,Eyes/Health 모델 이슈 해결,confidence threshold 조정 / 우선순위 로직,,,이유석,2025-10-25,2025-10-29,4,완료,100%
,,PetHospital 시스템 구축,카카오 API / 24시 응급실 자동 감지 (신규!),,,이유석,2025-10-26,2025-10-30,4,완료,100%
,,AI 챗봇 프롬프트 강화,해시태그 자동 생성 / Markdown 렌더러,,,이유석,2025-10-28,2025-10-31,3,완료,100%
,Task 19,API 연동 및 테스트,프론트엔드 ↔ AI 서버 통신,,,이유석,2025-10-28,2025-10-31,3,완료,100%
,,CORS 문제 해결,allow_origins 설정 / 크로스 도메인,,,이유석,2025-10-28,2025-10-29,1,완료,100%
,,에러 핸들링,로딩 상태 / 실패 메시지 / 재시도 로직,,,이유석,2025-10-29,2025-10-30,1,완료,100%
,,페이지 로딩 속도 최적화,85% 개선 (3-5초 → 0.1-0.5초),,,이유석,2025-10-30,2025-10-31,1,완료,100%
,Task 20,라이프스타일 채팅 시작,테이블 생성 및 UI 구현,,,이유석,2025-10-24,2025-10-31,7,완료,100%
,,테이블 구축,lifestylechatrooms / lifestylechatmessages,,,이유석,2025-10-24,2025-10-25,1,완료,100%
,,글로벌 로비 UI,실시간 Supabase Realtime 구독,,,이유석,2025-10-26,2025-10-28,2,완료,100%
,,해시태그 채팅방 UI,트리거 기반 자동 추출 시스템,,,이유석,2025-10-29,2025-10-31,2,완료,100%
Phase 5: RAG 시스템 구축,,,,,,,2025-10-20,2025-11-07,18,완료,100%
,Task 21,RAG 시스템 최적화,시연 영상용 최적화 (데일리 2025-10-31),,,이유석,2025-10-31,2025-11-07,7,완료,100%
,,Health 모델 UI 제거,시연 영상 집중도 향상,,,이유석,2025-10-31,2025-11-07,7,완료,100%
,,무의미한 해시태그 제거,#무 / #nose 등 필터링,,,이유석,2025-10-31,2025-11-07,7,완료,100%
,,답변 길이 증가,maxOutputTokens 4096 → 8192,,,이유석,2025-10-31,2025-11-07,7,완료,100%
,Task 22,Vector DB 구축,pgvector Extension 설치 및 테이블 생성,,,이유석,2025-10-14,2025-10-31,17,완료,100%
,,pgvector 확장 설치,PostgreSQL Vector 검색 기능,,,이유석,2025-10-14,2025-10-15,1,완료,100%
,,pet_knowledge_base 테이블,HuggingFace Embedding API 연동 (384차원),,,이유석,2025-10-15,2025-10-20,5,완료,100%
,,자동 수집 트리거,커뮤니티 게시글 → 지식 베이스,,,이유석,2025-10-20,2025-10-31,11,완료,100%
,Task 23,LLM 답변 생성 파이프라인,Vector Similarity Search 구현,,,이유석,2025-10-14,2025-10-31,17,완료,100%
,,RAG 검색 함수 개발,search_pet_knowledge (코사인 유사도),,,이유석,2025-10-14,2025-10-20,6,완료,100%
,,OpenAI/Gemini 연동,LLM 답변 생성 파이프라인,,,이유석,2025-10-20,2025-10-31,11,완료,100%
,,시연 영상 촬영 및 전송,강사님/매니저님께 전송 완료,,,이유석,2025-10-31,2025-10-31,0,완료,100%
,Task 24,설정 페이지 알림 시스템,알림 구조 재정리 (데일리 2025-11-02),,,이유석,2025-11-02,2025-11-03,1,완료,100%
,,알림 설정 4개 구분,푸시 / 플래너 / 커뮤니티 / 라이프스타일,,,이유석,2025-11-02,2025-11-03,1,완료,100%
,,DB 스키마 업데이트,lifestylenotifications 컬럼 추가,,,이유석,2025-11-02,2025-11-03,1,완료,100%
,Task 25,반응형 디자인 추가,모바일 최적화 (데일리 2025-11-06),,,이유석,2025-11-06,2025-11-06,0,완료,100%
,,커뮤니티 모바일 반응형,768px / 480px 브레이크포인트,,,이유석,2025-11-06,2025-11-06,0,완료,100%
,,AI Assistant 모바일 개선,좌측 패널 이미지 영역 개선,,,이유석,2025-11-06,2025-11-06,0,완료,100%
,,Dashboard 모바일 강화,우측 패널 기능 카드 최적화,,,이유석,2025-11-06,2025-11-06,0,완료,100%
,Task 26,커뮤니티 실시간 댓글,Supabase Realtime 구독 (데일리 2025-11-07),,,이유석,2025-11-07,2025-11-07,0,완료,100%
,,실시간 댓글 시스템,모달 내 즉시 반영 + 페이지 동기화,,,이유석,2025-11-07,2025-11-07,0,완료,100%
Phase 6: 라이프스타일 채팅,,,,,,,2025-11-08,2025-11-10,2,완료,100%
,Task 27,반응형 디자인 완전 구현,8개 CSS 파일 (데일리 2025-11-09),,,이유석,2025-11-09,2025-11-09,0,완료,100%
,,400px 모바일 대응,4단계 브레이크포인트 (1280/900/768/400px),,,이유석,2025-11-09,2025-11-09,0,완료,100%
,,8개 CSS 파일 반응형,realtimechat/bookmarktabs/hashtagrooms 등,,,이유석,2025-11-09,2025-11-09,0,완료,100%
,Task 28,UI/UX 개선 및 리팩토링,Flexbox 높이 통제 (데일리 2025-11-10),,,이유석,2025-11-10,2025-11-10,0,완료,100%
,,좌우 패널 높이 매칭,align-items: stretch + min-height: 0,,,이유석,2025-11-10,2025-11-10,0,완료,100%
,,Sticky 기능 복원,position: sticky / top: 0,,,이유석,2025-11-10,2025-11-10,0,완료,100%
,,툴팁 가시성 해결,z-index: 10000 + overflow: visible,,,이유석,2025-11-10,2025-11-10,0,완료,100%
,,Z-Index 레이어링 시스템,0 → 10 → 100 → 199999 → 200000,,,이유석,2025-11-10,2025-11-10,0,완료,100%
Phase 7: 배포 및 최종 점검,,,,,,,2025-11-03,2025-11-20,17,진행중,80%
,Task 29,Vercel 배포,프론트엔드 배포 및 모바일 최적화 (데일리 2025-11-06),,,이유석,2025-11-03,2025-11-20,17,완료,100%
,,Vercel 배포 성공,https://fetpal.vercel.app,,,이유석,2025-11-04,2025-11-20,16,완료,100%
,,모바일 반응형 9개 버그 수정,usePathname SSR 에러 등 해결,,,이유석,2025-11-05,2025-11-20,15,완료,100%
,,QR 코드 생성,발표 준비 완료,,,이유석,2025-11-06,2025-11-20,14,완료,100%
,Task 30,모델 성능 평가,검증 데이터 기반 성능 측정,,,이유석,2025-10-16,2025-11-20,35,완료,100%
,,모델정의서 작성,3개 모델 스펙 / 클래스 정의,,,이유석,2025-10-16,2025-11-20,35,완료,100%
,,성능평가 결과서 작성,mAP 분석 / 실전 테스트 / 개선 방안,,,이유석,2025-09-19,2025-11-20,62,완료,100%
,Task 31,프로젝트 문서 최신화,발표용 산출물 정리,,,이유석,2025-11-04,2025-11-20,16,완료,100%
,,WBS 최신화,주차별 작업 현황 / 데일리 리포트 기반 날짜 조정,,,이유석,2025-11-04,2025-11-20,16,완료,100%
,,ERD / 시스템 흐름도 최신화,RAG / YOLO 시스템 반영,,,이유석,2025-11-05,2025-11-20,15,완료,100%
,,시스템 아키텍처 최신화,MSA 구조 / 기술 스택 업데이트,,,이유석,2025-11-06,2025-11-20,14,완료,100%
,,데일리 리포트 작성,2025-10-25~11-10 총 8개 작성,,,이유석,2025-10-25,2025-11-20,26,완료,100%
,Task 32,발표 자료 제작,PPT / 시연 영상 준비,,,이유석,2025-11-08,2025-11-20,12,진행중,60%
,,Canva PPT 제작,15-20분 발표 슬라이드 (15장 내외),,,이유석,2025-11-08,2025-11-20,12,진행중,60%
,,시연 영상 촬영,실제 사용 시나리오 기반 데모 영상,,,이유석,2025-11-09,2025-11-20,11,완료,100%
,,발표 리허설,Q&A 시나리오 준비 / 타이밍 조율,,,이유석,2025-11-18,2025-11-20,2,진행중,0%